,amountIn,amountOut,amountInReverse,amountOutReverse,pooldai-weth
0,100,0.02167487167183335,0.02167487167183335,99.98000193656662,0xD8dEC118e1215F02e10DB846DCbBfE27d477aC19
1,200,0.043345682108637984,0.043345682108637984,199.9600057459138,0xD8dEC118e1215F02e10DB846DCbBfE27d477aC19
2,300,0.06501243123401412,0.06501243123401412,299.9400114275186,0xD8dEC118e1215F02e10DB846DCbBfE27d477aC19
3,400,0.08667511897212266,0.08667511897212266,399.92001898085255,0xD8dEC118e1215F02e10DB846DCbBfE27d477aC19
4,500,0.10833374524768424,0.10833374524768424,499.9000284053882,0xD8dEC118e1215F02e10DB846DCbBfE27d477aC19
5,600,0.12998830998598088,0.12998830998598088,599.8800397006025,0xD8dEC118e1215F02e10DB846DCbBfE27d477aC19
6,700,0.15163881311582772,0.15163881311582772,699.8600528659663,0xD8dEC118e1215F02e10DB846DCbBfE27d477aC19
7,800,0.1732852545760446,0.1732852545760446,799.8400679009492,0xD8dEC118e1215F02e10DB846DCbBfE27d477aC19
8,900,0.19492763429495796,0.19492763429495796,899.8200848050246,0xD8dEC118e1215F02e10DB846DCbBfE27d477aC19
9,1000,0.2165659522000809,0.2165659522000809,999.8001035776651,0xD8dEC118e1215F02e10DB846DCbBfE27d477aC19
